postcode,electricity_all_meters,electricity_all_consumption_kwh,electricity_standard_meters,electricity_standard_consumption_kwh,electricity_economy7_meters,electricity_economy7_consumption_kwh,gas_meters,gas_consumption_kwh
"M16 6FW",,,,,,,,
"M16 6FX",,,,,,,,
"M16 6GA",,,,,,,,
"M16 6GB",,,,,,,,
"M16 6GD",,,,,,,,
"M16 6GE",,,,,,,,
"M16 6GF",,,,,,,,
"M16 6GH",,,,,,,,
"M16 6GJ",,,,,,,,
"M16 6GL",,,,,,,,
"M16 6GN",,,,,,,,
"M16 6GP",,,,,,,,
"M16 7BR",9,44686,,,9,44686,,
"M16 7BU",37,70785,37,70785,,,36,208842
"M16 7BY",,,,,,,,
"M16 7BZ",5,16447,5,16447,,,,
"M16 7DB",6,18815,6,18815,,,6,56273
"M16 7DD",31,130338,31,130338,,,25,221594
"M16 7DF",16,53511,16,53511,,,17,213290
"M16 7DG",,,,,,,,
"M16 7DH",41,222331,,,,,7,58760
"M16 7DN",10,24819,10,24819,,,10,86085
"M16 7DP",13,69422,13,69422,,,14,162815
"M16 7DQ",,,,,,,,
"M16 7DR",11,35485,11,35485,,,12,153495
"M16 7DS",12,35981,12,35981,,,11,68588
"M16 7DT",7,23544,7,23544,,,6,72097
"M16 7DW",,,,,,,,
"M16 7DY",12,37817,12,37817,,,12,106220
"M16 7DZ",6,20358,6,20358,,,5,32715
"M16 7FD",11,32078,11,32078,,,11,115210
"M16 7GD",41,122715,41,122715,,,41,332565
"M16 7GG",14,40734,14,40734,,,14,241977
"M16 7GP",18,64005,,,,,16,289029
"M16 7GQ",19,98097,,,,,19,254432
"M16 7GR",18,45320,,,,,18,242013
"M16 7GS",24,84756,20,75854,,,21,306819
"M16 7GU",37,85443,37,85443,,,39,474275
"M16 7HE",13,41654,,,,,14,122418
"M16 7JH",32,134687,32,134687,,,31,389207
"M16 7JL",35,103965,,,,,33,291008
"M16 7JT",21,58557,21,58557,,,21,166426
"M16 7NG",16,54304,16,54304,,,15,123419
"M16 7NQ",19,50823,19,50823,,,20,160449
"M16 7NR",33,102741,33,102741,,,32,225691
"M16 7NX",,,,,,,,
"M16 7NY",21,71636,21,71636,,,29,459013
"M16 7PB",,,,,,,,
"M16 7PD",23,112302,23,112302,,,19,211593
"M16 7PE",12,50813,12,50813,,,9,61248
"M16 7PF",12,78549,5,30142,7,48407,,
"M16 7PQ",35,128006,31,82400,,,37,510257
"M16 7PR",12,30819,12,30819,,,12,146599
"M16 7PS",8,27648,8,27648,,,8,65738
"M16 7PT",,,,,,,,
"M16 7QA",,,,,,,,
"M16 7QB",,,,,,,,
"M16 7QG",19,55196,19,55196,,,18,170026
"M16 7QQ",19,57066,19,57066,,,20,297304
"M16 7QR",20,59588,20,59588,,,18,257151
"M16 7QS",29,107666,,,,,29,447437
"M16 7QT",24,89025,,,,,25,360731
"M16 7QU",25,73642,,,,,25,313463
"M16 7RA",20,51666,20,51666,,,20,221475
"M16 7RD",7,21278,,,,,7,132496
"M16 7RF",6,27345,6,27345,,,6,106735
"M16 7RG",7,26623,7,26623,,,8,119978
"M16 7RJ",6,14687,6,14687,,,6,86675
"M16 7RN",52,117229,,,,,49,520811
"M16 7RQ",47,147007,33,75558,14,71449,34,246673
"M16 7RS",,,,,,,,
"M16 7RT",9,24421,9,24421,,,9,142741
"M16 7RW",11,69777,11,69777,,,,
"M16 7RX",,,,,,,,
"M16 7RY",14,57975,7,26392,7,31583,12,152233
"M16 7RZ",10,43915,,,,,11,225700
"M16 7SA",13,44062,13,44062,,,14,250677
"M16 7SB",13,41089,13,41089,,,12,238536
"M16 7SD",18,56256,18,56256,,,18,217603
"M16 7WB",,,,,,,,
"M16 7WE",,,,,,,,
"M16 7WP",,,,,,,,
"M16 7WQ",,,,,,,,
"M16 7WR",12,25706,12,25706,,,11,78945
"M16 7WT",24,65563,24,65563,,,,
"M16 7WU",20,113773,,,,,18,257578
"M16 7WW",21,67152,17,29030,,,15,197394
"M16 7WX",12,27891,12,27891,,,,
"M16 7WY",,,,,,,,
"M16 7YZ",,,,,,,,
"M16 8GR",55,178974,55,178974,,,56,722431
"M16 8GS",17,56557,17,56557,,,17,217628
"M16 8GU",12,28944,12,28944,,,11,115145
"M16 8PJ",65,244761,46,86414,19,158347,51,504281
"M16 8RN",,,,,,,,
"M16 9AA",17,41017,17,41017,,,17,125864
"M16 9AB",8,29689,8,29689,,,8,75794
"M16 9AE",12,64495,12,64495,,,11,119620
"M16 9BB",8,29340,8,29340,,,9,120113
"M16 9BP",7,22284,7,22284,,,7,85018
"M16 9BR",28,43962,28,43962,,,30,203351
"M16 9EA",,,,,,,,
"M16 9EB",,,,,,,,
"M16 9EU",11,31047,11,31047,,,14,117814
"M16 9HA",14,63416,14,63416,,,24,294212
"M16 9HY",,,,,,,,
"M16 9JE",12,67841,8,45089,,,10,128876
"M16 9JN",16,66999,16,66999,,,16,198133
"M16 9JT",10,35892,10,35892,,,10,165176
"M16 9JU",12,33327,12,33327,,,12,128258
"M16 9JW",16,38204,16,38204,,,16,200455
"M16 9JX",35,91237,35,91237,,,34,366265
"M16 9JY",37,91191,37,91191,,,37,439959
"M16 9JZ",31,78914,31,78914,,,31,305939
"M16 9LA",38,89153,38,89153,,,42,554650
"M16 9LB",43,110756,,,,,44,380661
"M16 9LD",33,83633,,,,,34,351245
"M16 9LE",35,90314,,,,,37,436249
"M16 9LF",32,80048,32,80048,,,30,345849
"M16 9LH",17,54525,17,54525,,,19,215236
"M16 9LL",12,42383,,,,,13,176385
"M16 9LN",8,19489,8,19489,,,7,79403
"M16 9LP",15,40179,15,40179,,,15,201086
"M16 9LQ",13,15660,13,15660,,,11,80562
"M16 9LR",17,91762,,,,,18,284690
"M16 9LS",,,,,,,,
"M16 9LT",19,73446,19,73446,,,20,344656
"M16 9LU",28,87064,,,,,27,424101
"M16 9LW",7,24102,7,24102,,,7,56946
"M16 9LX",36,147841,,,,,28,448950
"M16 9LY",,,,,,,,
"M16 9LZ",54,165782,,,,,55,702949
"M16 9NA",,,,,,,,
"M16 9NB",10,22281,,,,,9,134767
"M16 9ND",35,106326,,,,,35,601759
"M16 9NE",28,92031,,,,,28,455744
"M16 9NF",18,58571,,,,,17,223571
"M16 9NH",12,26961,12,26961,,,19,203074
"M16 9PN",19,57895,,,,,19,245891
"M16 9UA",,,,,,,,
"M16 9WA",9,31294,9,31294,,,10,93750
"M16 9WB",33,98881,,,,,33,424415
"M16 9WD",41,129866,,,,,41,585313
"M16 9WE",14,38479,14,38479,,,15,253240
"M16 9WF",35,102506,35,102506,,,39,598101
"M16 9WH",21,70487,,,,,21,326506
"M17 1AG",,,,,,,,
"M17 1AY",,,,,,,,
"M17 1BS",,,,,,,,
"M17 1BY",,,,,,,,
"M17 1EQ",,,,,,,,
"M17 1EX",,,,,,,,
"M17 1HA",,,,,,,,
"M17 1HB",,,,,,,,
"M17 1HE",,,,,,,,
"M17 1JG",,,,,,,,
"M17 1NH",,,,,,,,
"M17 1PA",,,,,,,,
"M17 1SG",,,,,,,,
"M17 1SL",,,,,,,,
"M17 1SR",,,,,,,,
"M17 1SX",,,,,,,,
"M17 1TU",,,,,,,,
"M17 1WQ",,,,,,,,
"M24 4GP",13,37340,13,37340,,,12,169898
"M24 4QP",5,10903,5,10903,,,5,60444
"M24 4SD",,,,,,,,
"M24 4SF",,,,,,,,
"M24 4SH",,,,,,,,
"M24 5JY",9,34742,9,34742,,,9,119010
"M24 6XW",,,,,,,,
"M25 2GG",38,100592,,,,,38,496108
"M25 2GJ",,,,,,,,
"M25 2GL",5,18040,5,18040,,,,
"M25 2GP",24,55964,24,55964,,,24,274993
"M25 2GQ",19,65647,,,,,18,231047
"M25 2NG",31,73660,,,,,31,230760
"M25 2NQ",39,120845,,,,,38,415645
"M25 2QG",21,57123,,,,,21,278171
"M25 2QL",34,99142,34,99142,,,34,515494
"M25 2QN",22,75869,22,75869,,,23,334182
"M25 2QQ",22,69870,22,69870,,,21,249333
"M25 2QW",19,55287,19,55287,,,20,317564
"M25 2RB",24,66174,24,66174,,,26,339931
"M25 2RD",23,93710,,,,,22,298972
"M25 2RE",12,35495,12,35495,,,9,104729
"M25 2RF",9,24879,9,24879,,,9,109001
"M25 2RG",8,24798,8,24798,,,8,87573
"M25 2RH",35,110955,,,,,35,387521
"M25 2RL",31,97543,31,97543,,,31,332063
"M25 2RQ",9,36108,9,36108,,,9,148291
"M25 2RU",,,,,,,,
"M25 2RY",63,167916,59,153041,,,63,622354
"M25 2SF",12,46857,,,,,17,356781
"M25 2SN",5,15400,5,15400,,,5,72066
"M25 2ST",27,108796,27,108796,,,27,353303
"M25 2TD",33,78087,33,78087,,,33,248969
"M25 2WN",43,126496,,,,,41,394158
"M25 2WW",37,115255,,,,,36,382179
"M25 3AT",15,38169,15,38169,,,16,198170
"M25 3AX",6,14995,6,14995,,,6,66318
"M25 3BD",6,27380,6,27380,,,9,172131
"M25 3BH",,,,,,,,
"M25 3BL",,,,,,,,
"M25 3DG",14,53425,14,53425,,,14,200269
"M25 3DR",21,69635,,,,,20,308264
"M25 3DS",15,41686,,,,,16,191241
"M25 3DT",17,46085,,,,,16,177618
"M25 3DU",12,52654,,,,,12,146144
"M25 3DX",16,39026,16,39026,,,16,157521
"M25 9SZ",23,52796,23,52796,,,26,197741
"M26 1JA",35,120386,30,107001,5,13386,32,534857
"M26 1TJ",,,,,,,,
"M26 2PX",46,134675,,,,,47,470836
"M27 8SS",29,103430,,,,,32,330087
"M3 1DZ",,,,,,,,
"M3 1EB",,,,,,,,
"M3 1FE",,,,,,,,
"M3 1FF",,,,,,,,
"M3 1NG",7,43752,7,43752,,,,
"M3 1NH",,,,,,,,
"M3 1NJ",52,318249,52,318249,,,,
"M3 1NL",12,97029,12,97029,,,,
"M3 1NN",97,552049,97,552049,,,,
"M3 1NP",47,261839,47,261839,,,,
"M3 1NQ",262,1284046,,,,,,
"M3 1PJ",,,,,,,,
"M3 1RH",,,,,,,,
"M3 1SB",,,,,,,,
"M3 1SN",,,,,,,,
"M3 1ST",,,,,,,,
"M3 1SX",,,,,,,,
"M3 2DD",61,448317,,,,,,
"M3 2DE",53,405749,,,,,,
"M3 2DF",,,,,,,,
"M3 2EQ",,,,,,,,
"M3 2JA",,,,,,,,
"M3 2LG",,,,,,,,
"M3 2LY",,,,,,,,
"M3 2WJ",,,,,,,,
"M3 3AD",22,167568,,,22,167568,,
"M3 3AE",70,439772,,,,,,
"M3 3AF",46,283952,,,,,,
"M3 3AG",85,543737,,,81,522813,,
"M3 3AH",52,309419,,,,,,
"M3 3AJ",75,573679,,,71,544421,,
"M3 3AL",34,261127,,,34,261127,,
"M3 3AN",,,,,,,,
"M3 3AP",,,,,,,,
"M3 3AQ",,,,,,,,
"M3 3AY",,,,,,,,
"M3 3BE",,,,,,,,
"M3 3EB",,,,,,,,
"M3 3EJ",,,,,,,,
"M3 3EL",,,,,,,,
"M3 3ER",,,,,,,,
"M3 3FL",,,,,,,,
"M3 3FT",,,,,,,,
"M3 3FX",,,,,,,,
"M3 3GS",,,,,,,,
"M3 3GY",,,,,,,,
"M3 3GZ",65,351197,,,65,351197,,
"M3 3HF",,,,,,,,
"M3 3HN",,,,,,,,
"M3 3HP",,,,,,,,
"M3 3JE",,,,,,,,
"M3 3JZ",,,,,,,,
"M3 3LU",,,,,,,,
"M3 3ND",,,,,,,,
"M3 3NE",,,,,,,,
"M3 3NN",,,,,,,,
"M3 3WF",,,,,,,,
"M3 4AE",,,,,,,,
"M3 4AL",,,,,,,,
"M3 4AN",83,421251,,,,,,
"M3 4AP",,,,,,,,
"M3 4AU",6,63736,6,63736,,,,
"M3 4AY",83,429591,83,429591,,,,
"M3 4AZ",66,338724,66,338724,,,,
"M3 4BA",76,395941,76,395941,,,,
"M3 4BE",71,322612,71,322612,,,,
"M3 4BG",,,,,,,,
"M3 4BQ",,,,,,,,
"M3 4DA",9,30882,9,30882,,,,
"M3 4DF",,,,,,,,
"M3 4DG",,,,,,,,
"M3 4DJ",,,,,,,,
"M3 4DN",,,,,,,,
"M3 4DQ",,,,,,,,
"M3 4DR",,,,,,,,
"M3 4DS",,,,,,,,
"M3 4DT",,,,,,,,
"M3 4DU",,,,,,,,
"M3 4DW",,,,,,,,
"M3 4DY",,,,,,,,
"M3 4DZ",,,,,,,,
"M3 4EA",,,,,,,,
"M3 4EB",,,,,,,,
"M3 4EN",,,,,,,,
"M3 4FD",,,,,,,,
"M3 4FG",96,190942,89,175927,7,15015,73,328960
"M3 4FH",,,,,,,,
"M3 4FJ",8,9859,,,,,7,25435
"M3 4FL",24,48179,,,,,16,111779
"M3 4FN",,,,,,,,
"M3 4FQ",73,156495,67,137884,6,18611,53,256023
"M3 4JA",65,276239,,,,,,
"M3 4JB",,,,,,,,
"M3 4JD",43,201823,43,201823,,,,
"M3 4JE",59,262515,59,262515,,,,
"M3 4JH",,,,,,,,
"M3 4JN",62,328820,,,58,291063,,
"M3 4JQ",,,,,,,,
"M3 4JU",49,226706,49,226706,,,7,51554
"M3 4LA",44,264653,,,,,,
"M3 4LB",57,363244,,,57,363244,,
"M3 4LG",23,137516,14,81293,9,56224,,
"M3 4LQ",,,,,,,,
"M3 4LY",,,,,,,,
"M3 4LZ",,,,,,,,
"M3 4NA",39,190861,39,190861,,,,
"M3 4NJ",26,138131,,,,,6,87294
"M3 4NQ",,,,,,,,
"M3 4NW",,,,,,,,
"M3 4PF",,,,,,,,
"M3 4PP",,,,,,,,
"M3 4PR",,,,,,,,
"M3 4QL",,,,,,,,
"M3 4SB",,,,,,,,
"M3 5AG",,,,,,,,
"M3 5AH",,,,,,,,
"M3 5AJ",,,,,,,,
"M3 5AL",,,,,,,,
"M3 5AP",,,,,,,,
"M3 5AS",92,628882,,,88,600373,,
"M3 5AX",52,221783,52,221783,,,,
"M3 5AY",,,,,,,,
"M3 5AZ",9,41951,9,41951,,,,
"M3 5BJ",,,,,,,,
"M3 5BN",,,,,,,,
"M3 5BQ",,,,,,,,
"M3 5BT",,,,,,,,
"M3 5BY",28,192325,,,,,,
"M3 5BZ",,,,,,,,
"M3 5DE",,,,,,,,
"M3 5DF",5,23639,5,23639,,,5,74106
"M3 5DG",,,,,,,,
"M3 5DQ",10,20055,10,20055,,,9,44140
"M3 5DS",,,,,,,,
"M3 5DT",,,,,,,,
"M3 5DU",,,,,,,,
"M3 5DW",,,,,,,,
"M3 5DX",6,45709,6,45709,,,,
"M3 5DY",,,,,,,,
"M3 5DZ",79,276340,79,276340,,,,
"M3 5ED",80,253378,80,253378,,,,
"M3 5EG",,,,,,,,
"M3 5EH",80,264545,80,264545,,,,
"M3 5EN",,,,,,,,
"M3 5EP",15,87667,,,,,,
"M3 5EQ",,,,,,,,
"M3 5ET",,,,,,,,
"M3 5EU",,,,,,,,
"M3 5EW",70,359327,15,75119,55,284208,,
"M3 5EX",90,404010,90,404010,,,,
"M3 5EY",56,167781,56,167781,,,,
"M3 5FP",5,38369,5,38369,,,,
"M3 5FS",,,,,,,,
"M3 5FY",,,,,,,,
"M3 5FZ",72,273285,72,273285,,,,
"M3 5GA",62,238843,62,238843,,,,
"M3 5GB",71,272795,71,272795,,,,
"M3 5GD",72,298228,72,298228,,,,
"M3 5GE",45,181527,45,181527,,,,
"M3 5GF",,,,,,,,
"M3 5HF",,,,,,,,
"M3 5HG",24,58625,24,58625,,,23,182086
"M3 5HH",10,40595,10,40595,,,10,87455
"M3 5HJ",,,,,,,,
"M3 5HP",,,,,,,,
"M3 5HR",33,81080,11,31369,22,49711,,
"M3 5HS",40,107467,13,34613,27,72854,,
"M3 5HT",37,85301,12,27830,25,57470,,
"M3 5HU",14,34061,14,34061,,,12,61999
"M3 5HW",,,,,,,,
"M3 5HX",27,58288,,,,,24,139341
"M3 5HY",,,,,,,,
"M3 5HZ",32,61292,10,20205,22,41087,,
"M3 5JA",35,79640,13,29185,22,50455,,
"M3 5JB",37,104797,16,39893,21,64904,,
"M3 5JE",14,38338,14,38338,,,14,80580
"M3 5JF",74,372037,74,372037,,,,
"M3 5JH",12,58519,12,58519,,,,
"M3 5JL",,,,,,,,
"M3 5JR",27,214286,,,,,,
"M3 5JS",25,109703,,,,,,
"M3 5JT",58,273616,58,273616,,,,
"M3 5JY",,,,,,,,
"M3 5JZ",,,,,,,,
"M3 5LE",6,39051,6,39051,,,,
"M3 5LF",7,16437,7,16437,,,5,40022
"M3 5LH",,,,,,,,
"M3 5LL",,,,,,,,
"M3 5NA",9,88424,,,9,88424,,
"M3 5NB",45,289792,,,,,,
"M3 5ND",49,399741,,,49,399741,,
"M3 5NE",65,415447,,,65,415447,,
"M3 5NF",64,473552,,,,,,
"M3 5NG",38,246142,,,38,246142,,
"M3 6AB",25,93480,14,35549,11,57931,14,111694
"M3 6AD",24,74905,24,74905,,,,
"M3 6AF",92,580695,70,450880,22,129815,,
"M3 6AG",8,18406,8,18406,,,8,40769
"M3 6AH",57,244024,31,68248,26,175776,31,201378
"M3 6AJ",46,288624,36,210019,10,78605,,
"M3 6AL",14,49298,8,19739,6,29559,8,44841
"M3 6AN",,,,,,,,
"M3 6AP",64,264368,24,62480,40,201888,21,144772
"M3 6AQ",18,43091,18,43091,,,18,111747
"M3 6AR",54,199966,29,73166,25,126800,26,146870
"M3 6AS",58,317657,8,21512,50,296144,8,54052
"M3 6AX",,,,,,,,
"M3 6AY",10,49683,6,24186,,,8,112773
"M3 6BA",28,67411,,,,,26,184509
"M3 6BB",54,91433,,,,,49,296762
"M3 6BD",13,32844,13,32844,,,13,105816
"M3 6BE",13,28620,13,28620,,,11,86819
"M3 6BF",,,,,,,,
"M3 6BH",35,106848,23,46597,12,60251,22,168705
"M3 6BJ",77,487244,14,33746,63,453498,,
"M3 6BL",19,64578,19,64578,,,16,139891
"M3 6BN",21,59236,21,59236,,,22,185653
"M3 6BP",18,44732,18,44732,,,18,185682
"M3 6BS",6,26115,6,26115,,,,
"M3 6BT",28,152133,28,152133,,,,
"M3 6BU",,,,,,,,
"M3 6BW",16,35017,16,35017,,,18,151030
"M3 6BY",,,,,,,,
"M3 6BZ",,,,,,,,
"M3 6DB",,,,,,,,
"M3 6DD",,,,,,,,
"M3 6DE",72,363916,,,,,,
"M3 6DF",,,,,,,,
"M3 6DH",52,222689,,,,,,
"M3 6DN",75,347804,75,347804,,,,
"M3 6DP",,,,,,,,
"M3 6DU",15,28062,15,28062,,,,
"M3 6DW",31,241633,,,31,241633,,
"M3 6DX",29,160243,,,25,137470,,
"M3 6DZ",51,239096,51,239096,,,,
"M3 6EA",19,54910,19,54910,,,20,103529
"M3 6EE",17,51511,17,51511,,,18,148385
"M3 6EG",15,42125,15,42125,,,15,122221
"M3 6EH",6,10538,6,10538,,,6,22079
"M3 6EN",,,,,,,,
"M3 6EQ",,,,,,,,
"M3 6ES",64,369245,5,27954,59,341291,,
"M3 6ET",64,329267,10,50717,54,278550,,
"M3 6EU",51,325480,5,21732,46,303748,,
"M3 6FA",,,,,,,,
"M3 6FB",19,45902,19,45902,,,19,98671
"M3 6FD",61,136171,61,136171,,,,
"M3 6FE",52,101816,52,101816,,,,
"M3 6FF",8,31898,8,31898,,,8,80862
"M3 6FG",21,55483,21,55483,,,22,229904
"M3 6FJ",20,148664,7,39540,13,109123,6,102945
"M3 6FL",9,34491,9,34491,,,10,102140
"M3 6FN",,,,,,,,
"M3 6FP",6,15683,6,15683,,,6,54587
"M3 6FR",,,,,,,,
"M3 6FS",18,30719,18,30719,,,20,118185
"M3 6FT",30,183347,,,30,183347,,
"M3 6FW",14,37615,14,37615,,,14,105335
"M3 6FY",25,34963,25,34963,,,24,130112
"M3 6FZ",74,336842,74,336842,,,,
"M3 6GA",55,186873,55,186873,,,,
"M3 6GB",62,278068,,,,,,
"M3 6GD",63,271439,63,271439,,,,
"M3 6GE",60,260207,60,260207,,,,
"M3 6GF",81,397900,81,397900,,,,
"M3 6GG",86,447351,86,447351,,,,
"M3 6GH",69,354278,69,354278,,,,
"M3 6GJ",59,251350,59,251350,,,,
"M3 6GP",,,,,,,,
"M3 6HT",45,216986,30,130802,15,86184,,
"M3 6HU",60,285684,37,185956,23,99728,,
"M3 6JG",94,484226,32,77816,62,406410,30,194644
"M3 6JH",,,,,,,,
"M3 6JN",74,423168,74,423168,,,,
"M3 6LU",,,,,,,,
"M3 6LZ",14,28670,,,,,13,73902
"M3 6NB",,,,,,,,
"M3 6NH",,,,,,,,
"M3 6TW",27,75787,,,,,25,155756
"M3 6WA",,,,,,,,
"M3 6WB",,,,,,,,
"M3 6WD",13,34173,,,,,12,86649
"M3 6WE",53,225194,,,,,,
"M3 6WH",12,18181,12,18181,,,12,128524
"M3 6WP",57,360070,,,,,,
"M3 7AA",,,,,,,,
"M3 7AD",37,96023,37,96023,,,38,328111
"M3 7AE",,,,,,,,
"M3 7AF",23,79703,17,48239,6,31464,16,114050
"M3 7AG",39,124201,,,,,,
"M3 7AL",14,50526,8,17838,6,32688,8,71931
"M3 7AQ",10,12055,10,12055,,,,
"M3 7AR",12,62205,,,12,62205,,
"M3 7AS",25,107537,15,54560,10,52977,17,138836
"M3 7AT",,,,,,,,
"M3 7AX",,,,,,,,
"M3 7BA",,,,,,,,
"M3 7BB",,,,,,,,
"M3 7BD",,,,,,,,
"M3 7BE",,,,,,,,
"M3 7BF",,,,,,,,
"M3 7BG",,,,,,,,
"M3 7BJ",48,217207,48,217207,,,,
"M3 7BN",,,,,,,,
"M3 7BP",89,433081,89,433081,,,,
"M3 7BS",12,69800,12,69800,,,,
"M3 7BT",99,448145,,,,,,
"M3 7BU",40,167234,,,,,,
"M3 7BW",,,,,,,,
"M3 7BX",54,300876,,,,,,
"M3 7BY",87,333923,,,,,,
"M3 7BZ",,,,,,,,
"M3 7DA",79,414982,79,414982,,,,
"M3 7DB",,,,,,,,
"M3 7DG",,,,,,,,
"M3 7DH",,,,,,,,
"M3 7DQ",,,,,,,,
"M3 7DU",48,230030,,,,,,
"M3 7DW",,,,,,,,
"M3 7DX",71,364201,,,,,,
"M3 7DY",39,201891,39,201891,,,,
"M3 7DZ",87,338081,87,338081,,,,
"M3 7EA",,,,,,,,
"M3 7EB",49,238578,49,238578,,,,
"M3 7ED",56,307651,,,,,,
"M3 7EE",47,179192,47,179192,,,,
"M3 7EF",12,53997,12,53997,,,,
"M3 7EH",78,345290,,,74,294348,,
"M3 7EJ",17,87191,17,87191,,,,
"M3 7EL",40,192924,40,192924,,,,
"M3 7ER",39,226361,,,,,,
"M3 7ES",41,90363,17,39731,24,50632,,
"M3 7EU",,,,,,,,
"M3 7FA",,,,,,,,
"M3 7FB",,,,,,,,
"M3 7FD",19,51565,19,51565,,,20,141551
"M3 7FE",21,215943,21,215943,,,,
"M3 7FF",25,222218,25,222218,,,,
"M3 7FG",42,184007,9,48863,33,135144,,
"M3 7FH",27,212522,27,212522,,,,
"M3 7FJ",7,48436,7,48436,,,,
"M3 7FL",79,402144,79,402144,,,,
"M3 7FP",,,,,,,,
"M3 7FQ",14,43111,14,43111,,,12,126868
"M3 7FR",22,67128,,,,,23,151490
"M3 7FS",38,74309,19,40477,19,33832,,
"M3 7FT",,,,,,,,
"M3 7FU",,,,,,,,
"M3 7FW",79,364223,79,364223,,,,
"M3 7FX",,,,,,,,
"M3 7FY",,,,,,,,
"M3 7GA",69,346088,69,346088,,,,
"M3 7GB",67,297103,67,297103,,,,
"M3 7GE",32,56209,,,,,32,229193
"M3 7HA",52,87197,52,87197,,,51,208863
"M3 7HB",55,92090,55,92090,,,51,215680
"M3 7HJ",31,49407,,,,,32,116564
"M3 7JQ",,,,,,,,
"M3 7JS",,,,,,,,
"M3 7JY",86,186793,86,186793,,,9,21383
"M3 7JZ",81,136300,,,,,7,25598
"M3 7LB",38,200343,5,30764,33,169579,,
"M3 7LD",44,226130,,,,,,
"M3 7LE",,,,,,,,
"M3 7LF",,,,,,,,
"M3 7LJ",,,,,,,,
"M3 7LW",,,,,,,,
"M3 7NA",,,,,,,,
"M3 7NB",95,397694,15,67725,80,329968,,
"M3 7ND",94,334596,15,55202,79,279394,,
"M3 7NE",64,237829,6,22814,58,215015,,
"M3 7NG",95,563534,95,563534,,,,
"M3 7NH",235,418628,235,418628,,,,
"M3 7NJ",,,,,,,,
"M3 7NL",93,444199,,,,,,
"M3 7NW",,,,,,,,
"M3 7NY",6,25003,6,25003,,,6,54698
"M3 7RB",,,,,,,,
"M3 7SW",,,,,,,,
"M3 7WH",,,,,,,,
"M3 7WJ",,,,,,,,
"M3 7WQ",,,,,,,,
"M3 7WX",,,,,,,,
"M30 0AA",,,,,,,,
"M30 0AB",,,,,,,,
"M30 0AE",,,,,,,,
"M30 0AF",,,,,,,,
"M30 0AG",11,22550,11,22550,,,12,59947
"M30 0AN",80,104843,25,29775,55,75068,,
"M30 0AQ",26,45616,26,45616,,,24,134173
"M30 0AS",53,115349,42,90656,11,24693,44,333037
"M30 0AT",37,79175,25,61593,12,17582,,
"M30 0AU",44,74458,28,48634,16,25824,,
"M30 0AX",39,70938,23,43116,16,27822,,
"M30 0AY",41,59320,30,43811,11,15510,,
"M30 0AZ",35,72796,16,27387,19,45408,,
"M30 0BA",47,72382,29,41929,18,30453,,
"M30 0BB",6,14531,6,14531,,,7,90909
"M30 0BG",,,,,,,,
"M30 0BJ",5,31929,5,31929,,,,
"M30 0BP",14,80349,,,,,14,207761
"M30 0DA",7,37948,,,,,,
"M30 0DD",,,,,,,,
"M30 0DE",6,28274,6,28274,,,6,56101
"M30 0DF",6,42282,6,42282,,,15,291477
"M30 0DH",20,56909,,,,,16,124775
"M30 0DJ",,,,,,,,
"M30 0DL",18,161861,,,,,11,137290
"M30 0DN",,,,,,,,
"M30 0DR",6,12050,6,12050,,,7,77379
"M30 0DT",16,43144,,,,,15,202535
"M30 0DX",,,,,,,,
"M30 0DY",,,,,,,,
"M30 0DZ",51,116637,,,,,50,509258
"M30 0EA",,,,,,,,
"M30 0EB",,,,,,,,
"M30 0ED",22,28687,22,28687,,,19,84636
"M30 0EE",23,37618,23,37618,,,22,99064
"M30 0EF",29,42855,29,42855,,,27,141027
"M30 0EJ",,,,,,,,
"M30 0EU",,,,,,,,
"M30 0FA",5,8702,5,8702,,,,
"M30 0FH",,,,,,,,
"M30 0FN",,,,,,,,
"M30 0LH",,,,,,,,
"M30 0LS",,,,,,,,
"M30 0LX",,,,,,,,
"M30 0NS",,,,,,,,
"M30 0PW",,,,,,,,
"M30 0SA",,,,,,,,
"M30 0ST",7,10292,7,10292,,,6,24394
"M30 0TN",,,,,,,,
"M30 0XN",,,,,,,,
"M30 0XP",,,,,,,,
"M30 0YL",,,,,,,,
"M30 0YN",,,,,,,,
"M30 3AN",,,,,,,,
"M30 3AR",,,,,,,,
"M30 3AS",,,,,,,,
"M30 3BH",,,,,,,,
"M30 3BJ",,,,,,,,
"M30 7HX",,,,,,,,
"M30 9AG",34,112932,,,,,33,572638
"M30 9AN",93,389171,75,321987,18,67184,38,609762
"M30 9AQ",27,113555,20,78945,7,34610,12,184516
"M30 9AS",38,167507,33,150921,5,16586,34,675642
"M30 9AT",17,59383,,,,,17,306587
"M30 9AW",53,190655,46,124851,7,65803,37,516875
"M30 9AZ",8,22770,8,22770,,,8,69076
"M30 9BA",21,65101,,,,,21,240494
"M30 9BG",24,98309,24,98309,,,24,227546
"M30 9BJ",,,,,,,,
"M30 9BP",17,43883,,,,,18,227703
"M30 9BQ",45,113634,45,113634,,,41,324453
"M30 9BR",16,49601,16,49601,,,15,153186
"M30 9BS",23,72861,23,72861,,,22,245993
"M30 9BT",32,98565,32,98565,,,31,301541
"M30 9BU",40,123104,40,123104,,,40,431691
"M30 9BX",32,95881,32,95881,,,32,288996
"M30 9BY",25,66522,,,,,22,149458
