postcode,tender_area,local_authority
"FY8 3BU","Moss Side (Longsight)",Fylde
"M1 7EW",Ardwick,Manchester
"M1 7JJ",Ardwick,Manchester
"M1 7JL",Ardwick,Manchester
"M12 4AN",Ardwick,Manchester
"M12 4DL",Ardwick,Manchester
"M12 4JD",Ardwick,Manchester
"M12 6AG",Ardwick,Manchester
"M12 6AP",Ardwick,Manchester
"M12 6AW",Ardwick,Manchester
"M12 6BH",Ardwick,Manchester
"M12 6BT",Ardwick,Manchester
"M12 6BW",Ardwick,Manchester
"M12 6BZ",Ardwick,Manchester
"M12 6DD",Ardwick,Manchester
"M12 6DP",Ardwick,Manchester
"M12 6FT",Ardwick,Manchester
"M12 6FW",Ardwick,Manchester
"M12 6HQ",Ardwick,Manchester
"M12 6HS",Ardwick,Manchester
"M12 6JH",Ardwick,Manchester
"M12 6JZ",Ardwick,Manchester
"M12 6PN",Ardwick,Manchester
"M13 9GF",Ardwick,Manchester
"M13 9GN",Ardwick,Manchester
"M13 9GX",Ardwick,Manchester
"M13 9HG",Ardwick,Manchester
"M13 9JG",Ardwick,Manchester
"M13 9JS",Ardwick,Manchester
"M13 9PA",Ardwick,Manchester
"M13 9PE",Ardwick,Manchester
"M13 9RL",Ardwick,Manchester
"M13 9RQ",Ardwick,Manchester
"M13 9RY",Ardwick,Manchester
"M13 9SA",Ardwick,Manchester
"M13 9SD",Ardwick,Manchester
"M13 9SN",Ardwick,Manchester
"M13 9TN",Ardwick,Manchester
"M13 9TU",Ardwick,Manchester
"M13 9TW",Ardwick,Manchester
"M13 9UP",Ardwick,Manchester
"M13 9UU",Ardwick,Manchester
"M13 9UW",Ardwick,Manchester
"M13 9UZ",Ardwick,Manchester
"M13 9WB",Ardwick,Manchester
"M13 9WE",Ardwick,Manchester
"M13 9XE",Ardwick,Manchester
"M13 9XG",Ardwick,Manchester
"M13 9XT",Ardwick,Manchester
"M13 9YB",Ardwick,Manchester
"M13 9YG",Ardwick,Manchester
"M13 9YS",Ardwick,Manchester
"M14 4AR","Moss Side (Longsight)",Manchester
"M14 4BE","Moss Side (Longsight)",Manchester
"M14 4BW","Moss Side (Longsight)",Manchester
"M14 4EJ","Moss Side (Longsight)",Manchester
"M14 4ES","Moss Side (Longsight)",Manchester
"M14 4EY","Moss Side (Longsight)",Manchester
"M14 4FS","Moss Side (Longsight)",Manchester
"M14 4FZ","Moss Side (Longsight)",Manchester
"M14 4HJ","Moss Side (Longsight)",Manchester
"M14 4JE",Ardwick,Manchester
"M14 4JF","Moss Side (Longsight)",Manchester
"M14 4JG",Ardwick,Manchester
"M14 4JG","Moss Side (Longsight)",Manchester
"M14 4JZ",Ardwick,Manchester
"M14 4LT",Ardwick,Manchester
"M14 4RH","Moss Side (Longsight)",Manchester
"M14 4RT","Moss Side (Longsight)",Manchester
"M14 4RU","Moss Side (Longsight)",Manchester
